プレイヤー,KTR,おかだ,まさおぷ,はなび,だいこん,かみせ,おむむむ,ハル,ななし
アストラ,50.0,50.0,40.0,50.0,50.0,50.0,50.0,50.0,50.0
ブリーチ,50.0,50.0,50.0,40.0,50.0,50.0,50.0,40.0,50.0
ブリムストーン,50.0,50.0,50.0,50.0,60.0,50.0,50.0,50.0,50.0
チェンバー,50.0,40.0,55.9,50.0,60.0,50.0,50.0,35.9,60.0
クローブ,50.0,50.0,50.0,55.9,60.0,50.0,50.0,50.0,50.0
サイファー,50.0,50.0,50.0,50.0,50.0,50.0,45.5,60.0,50.0
デッドロック,60.0,60.0,40.0,50.0,50.0,50.0,50.0,40.0,50.0
フェイド,50.0,40.0,55.9,50.0,60.0,50.0,50.0,50.0,50.0
ゲッコー,40.0,35.9,30.0,53.7,40.0,64.1,50.0,52.9,43.2
ハーバー,60.0,50.0,50.0,50.0,40.0,50.0,50.0,35.9,50.0
アイソ,60.0,40.0,40.0,50.0,50.0,50.0,50.0,64.1,50.0
ジェット,60.0,66.8,50.0,43.6,50.0,56.3,29.1,41.3,32.7
KAY/O,50.0,50.0,50.0,50.0,40.0,50.0,50.0,50.0,50.0
キルジョイ,29.1,80.0,59.8,58.5,58.9,48.8,70.0,48.0,51.5
ネオン,50.0,60.0,60.0,50.0,50.0,50.0,50.0,32.7,50.0
オーメン,50.0,50.0,35.9,35.9,50.0,50.0,53.7,50.0,50.0
フェニックス,40.0,50.0,50.0,40.0,50.0,50.0,50.0,50.0,40.0
レイズ,40.0,50.0,50.0,50.0,55.9,50.0,50.0,60.0,50.0
レイナ,50.0,50.0,40.0,50.0,31.0,40.0,50.0,48.7,40.0
セージ,67.8,50.0,30.0,30.0,55.9,40.0,43.2,52.5,50.0
スカイ,50.0,50.0,50.0,60.0,50.0,50.0,50.0,45.5,50.0
ソーヴァ,50.0,59.3,48.5,45.9,59.1,55.0,36.6,56.1,50.0
テホ,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,60.0
ヴァイパー,50.0,47.8,50.0,50.0,48.2,46.3,57.7,55.9,50.0
ヴァイス,50.0,50.0,57.4,50.0,50.0,50.0,50.0,50.0,60.0
ウェイレイ,50.0,40.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
ヨル,50.0,50.0,50.0,60.0,50.0,50.0,50.0,50.0,50.0
