プレイヤー,KTR,おかだ,まさおぷ,はなび,だいこん
アストラ,50.0,50.0,40.0,50.0,50.0
ブリーチ,50.0,50.0,50.0,40.0,50.0
ブリムストーン,50.0,50.0,50.0,50.0,60.0
チェンバー,50.0,40.0,55.9,50.0,60.0
クローブ,50.0,50.0,50.0,55.9,60.0
サイファー,50.0,50.0,50.0,50.0,50.0
デッドロック,60.0,60.0,40.0,50.0,50.0
フェイド,50.0,40.0,55.9,50.0,60.0
ゲッコー,40.0,35.9,30.0,53.7,40.0
ハーバー,60.0,50.0,50.0,50.0,40.0
アイソ,60.0,40.0,40.0,50.0,50.0
ジェット,60.0,66.8,50.0,43.6,50.0
KAY/O,50.0,50.0,50.0,50.0,40.0
キルジョイ,29.1,80.0,59.8,58.5,58.9
ネオン,50.0,60.0,60.0,50.0,50.0
オーメン,50.0,50.0,35.9,35.9,50.0
フェニックス,40.0,50.0,50.0,40.0,50.0
レイズ,40.0,50.0,50.0,50.0,55.9
レイナ,50.0,50.0,40.0,50.0,31.0
セージ,67.8,50.0,30.0,30.0,55.9
スカイ,50.0,50.0,50.0,60.0,50.0
ソーヴァ,50.0,59.3,48.5,45.9,59.1
テホ,50.0,50.0,50.0,50.0,50.0
ヴァイパー,50.0,47.8,50.0,50.0,48.2
ヴァイス,50.0,50.0,57.4,50.0,50.0
ウェイレイ,50.0,40.0,50.0,50.0,50.0
ヨル,50.0,50.0,50.0,60.0,50.0
