プレイヤー,KTR,おかだ,まさおぷ,はなび,だいこん
アストラ,63.4,50.0,50.0,50.0,50.0
ブリーチ,55.2,50.0,50.0,56.3,60.0
ブリムストーン,45.5,50.0,50.0,50.0,50.0
チェンバー,50.0,60.0,50.0,50.0,60.0
クローブ,50.0,50.0,54.9,71.0,43.2
サイファー,46.1,36.8,39.8,26.6,65.9
デッドロック,50.0,50.0,50.0,50.0,64.1
フェイド,60.0,54.5,50.0,50.0,45.5
ゲッコー,45.5,57.4,53.6,48.2,48.1
ハーバー,50.0,60.0,50.0,50.0,50.0
アイソ,50.0,50.0,50.0,50.0,40.0
ジェット,45.5,43.6,40.0,47.1,50.0
KAY/O,54.5,50.0,50.0,33.8,35.9
キルジョイ,50.0,60.0,50.0,61.1,50.0
ネオン,50.0,50.0,50.0,60.0,50.0
オーメン,26.2,38.2,39.0,56.4,52.3
フェニックス,60.0,44.1,40.0,50.0,67.3
レイズ,56.3,57.2,36.3,56.3,52.9
レイナ,50.0,50.0,54.5,50.0,36.3
セージ,50.0,40.0,60.0,55.9,40.0
スカイ,60.0,60.0,45.5,36.3,50.0
ソーヴァ,51.4,43.7,38.9,50.0,47.5
テホ,40.0,50.0,50.0,50.0,50.0
ヴァイパー,47.1,35.9,70.0,60.0,50.0
ヴァイス,40.0,50.0,50.0,50.0,50.0
ウェイレイ,50.0,40.0,50.0,50.0,50.0
ヨル,50.0,50.0,40.0,50.0,60.0
