プレイヤー,KTR,おかだ,まさおぷ,はなび,だいこん
アストラ,35.6,39.0,34.7,69.7,35.9
ブリーチ,60.0,50.0,50.0,64.1,60.0
ブリムストーン,43.2,50.0,50.0,50.0,40.0
チェンバー,64.1,38.9,34.7,41.3,55.5
クローブ,50.0,50.0,60.0,50.0,50.0
サイファー,55.9,39.8,50.0,64.1,50.0
デッドロック,50.0,50.0,40.0,50.0,50.0
フェイド,26.8,25.5,28.1,43.0,33.6
ゲッコー,40.0,44.1,40.0,40.0,50.0
ハーバー,40.0,50.0,50.0,60.0,50.0
アイソ,50.0,50.0,50.0,50.0,55.9
ジェット,40.0,52.6,50.0,41.7,30.5
KAY/O,50.0,60.0,40.0,50.0,46.4
キルジョイ,46.4,60.0,45.3,50.0,50.0
ネオン,64.1,40.0,40.0,50.0,50.0
オーメン,50.0,50.0,41.7,50.0,31.0
フェニックス,35.9,50.0,40.0,50.0,50.0
レイズ,60.0,50.0,50.0,50.0,50.0
レイナ,44.1,40.0,50.0,50.0,44.1
セージ,50.0,60.0,50.0,50.0,50.0
スカイ,30.8,54.5,50.0,40.0,44.1
ソーヴァ,50.0,50.0,55.9,40.0,44.1
テホ,32.7,50.0,40.0,50.0,50.0
ヴァイパー,50.0,50.0,50.0,50.0,50.0
ヴァイス,40.0,50.0,60.0,60.0,60.0
ウェイレイ,50.0,60.0,50.0,50.0,50.0
ヨル,38.9,50.0,50.0,50.0,60.0
