プレイヤー,KTR,おかだ,まさおぷ,はなび,だいこん
アストラ,35.9,40.0,50.0,50.0,35.9
ブリーチ,53.9,58.3,41.7,53.7,50.0
ブリムストーン,57.4,50.0,50.0,60.0,40.0
チェンバー,50.0,44.9,36.6,61.1,36.6
クローブ,60.0,50.0,69.2,48.5,60.0
サイファー,32.7,64.1,50.0,72.4,55.9
デッドロック,50.0,40.0,50.0,50.0,50.0
フェイド,46.9,46.3,31.0,64.0,62.7
ゲッコー,44.1,59.3,50.0,39.0,61.8
ハーバー,50.0,50.0,50.0,40.0,50.0
アイソ,50.0,40.0,40.0,60.0,36.6
ジェット,50.0,64.8,54.5,58.3,64.1
KAY/O,46.4,60.0,50.0,50.0,54.5
キルジョイ,45.3,46.5,56.3,53.5,48.7
ネオン,60.0,64.1,50.0,50.0,50.0
オーメン,51.6,58.2,62.9,50.0,54.9
フェニックス,50.0,50.0,50.0,35.9,50.0
レイズ,40.7,46.3,50.0,48.1,55.3
レイナ,45.5,58.3,50.0,50.0,40.4
セージ,50.0,50.0,50.0,35.9,50.0
スカイ,60.2,55.9,50.0,53.3,40.0
ソーヴァ,70.0,50.0,40.0,55.9,50.0
テホ,50.0,60.0,55.9,50.0,53.7
ヴァイパー,65.3,50.0,40.0,50.0,50.0
ヴァイス,60.0,60.0,60.0,50.0,44.1
ウェイレイ,50.0,50.0,50.0,50.0,50.0
ヨル,35.9,50.0,60.0,60.0,60.0
